(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
Variación Banco Guayaquil % hasta marzo 2024,2.2,-5.6,0.0,3.0,2.7,2.6,-0.6,-3.1,0.0,2.8,-1.0,-1.1,19.1,2.9,2.0,0.0,100.7,0.0,-1.4,8.9,-4.9,0.0,24.2,-3.9,0.0,0.0,73.5,0.0,-0.2,-79.2,-100.0,-79.2,0.0,2.2,-0.2,1.7
Variación Total Sistema Monto hasta marzo 2024,343.0,-843.0,0.0,468.0,470.0,436.0,174.0,-140.0,-3.0,80.0,5.0,-12.0,177.0,458.0,-23.0,0.0,109.0,-3.0,59.0,155.0,-9.0,6.0,163.0,-115.0,40.0,0.0,376.0,0.0,23.0,-554.0,39.0,-593.0,0.0,343.0,156.0,499.0
"Variación Total Sistema %
 hasta marzo 2024",0.6,-10.1,0.0,5.5,1.2,1.1,13.1,4.9,-5.0,9.6,3.8,-1.4,6.3,0.8,0.0,0.0,52.4,-5.0,2.4,4.0,-2.2,1.1,60.5,-1.7,0.9,0.0,35.3,0.2,7.7,-71.3,99.3,-80.3,0.0,0.6,0.8,0.6
Total Sistema hasta marzo 2021,48506.0,9165.0,0.0,8086.0,27631.0,29181.0,734.0,-2284.0,2.0,787.0,90.0,716.0,2029.0,43381.0,37703.0,0.0,227.0,2.0,1693.0,2884.0,170.0,464.0,236.0,5126.0,3691.0,2.0,1051.0,2.0,204.0,176.0,95.0,81.0,48506.0,12916.0,61422.0,
Guayaquil hasta marzo 2021,5801.0,937.0,0.0,1135.0,3375.0,3513.0,49.0,-187.0,0.0,73.0,8.0,125.0,148.0,5259.0,4468.0,0.0,31.0,0.0,157.0,532.0,20.0,50.0,2.0,542.0,450.0,0.0,73.0,0.0,5.0,14.0,0.0,14.0,5801.0,1632.0,7433.0,
Variación Banco Guayaquil Monto hasta marzo 2021,40.0,-67.0,0.0,-1.0,92.0,84.0,3.0,4.0,0.0,2.0,3.0,-2.0,13.0,33.0,95.0,0.0,7.0,0.0,-17.0,-59.0,0.0,6.0,0.0,6.0,22.0,0.0,3.0,0.0,1.0,-19.0,0.0,-19.0,40.0,44.0,83.0,
Variación Banco Guayaquil % hasta marzo 2021,0.7,-6.7,0.0,-0.1,2.8,2.5,6.4,-2.3,0.0,3.3,51.6,-1.6,9.9,0.6,2.2,0.0,32.1,0.0,-9.6,-9.9,0.0,13.8,24.9,1.2,5.1,0.0,4.8,0.0,14.8,-57.6,0.0,-57.6,0.7,2.8,1.1,
Variación Total Sistema Monto hasta marzo 2021,48.0,-1094.0,0.0,796.0,353.0,364.0,13.0,-24.0,1.0,-91.0,1.0,6.0,75.0,17.0,175.0,0.0,-69.0,1.0,-25.0,-69.0,0.0,19.0,-16.0,31.0,50.0,0.0,118.0,0.0,-15.0,-122.0,30.0,-152.0,48.0,389.0,437.0,
"Variación Total Sistema %
 hasta marzo 2021",0.1,-10.7,0.0,10.9,1.3,1.3,1.8,1.1,48.6,-10.3,1.5,0.9,3.9,0.0,0.5,0.0,-23.2,48.6,-1.4,-2.3,0.0,4.4,-6.4,0.6,1.4,0.0,12.7,0.0,-6.8,-40.9,46.4,-65.2,0.1,3.1,0.7,
Total Sistema hasta marzo 2020,44016.0,6133.0,5.0,6328.0,28049.0,29255.0,790.0,-1997.0,33.0,621.0,75.0,700.0,2071.0,39025.0,33021.0,5.0,151.0,33.0,1811.0,3180.0,150.0,441.0,233.0,4991.0,3389.0,2.0,1081.0,2.0,186.0,332.0,233.0,98.0,44016.0,13195.0,57211.0,
Guayaquil hasta marzo 2020,5068.0,763.0,0.0,741.0,3240.0,3328.0,52.0,-140.0,0.0,47.0,3.0,130.0,144.0,4564.0,3730.0,0.0,15.0,0.0,168.0,596.0,0.0,31.0,25.0,504.0,392.0,0.0,106.0,0.0,5.0,2.0,0.0,2.0,5068.0,1723.0,6791.0,
Variación Banco Guayaquil Monto hasta marzo 2020,-9.0,-169.0,0.0,116.0,36.0,75.0,3.0,-42.0,0.0,-7.0,0.0,-1.0,16.0,25.0,11.0,0.0,5.0,0.0,-16.0,1.0,0.0,0.0,24.0,-35.0,0.0,0.0,44.0,0.0,0.0,-79.0,0.0,-79.0,-9.0,70.0,61.0,
Variación Banco Guayaquil % hasta marzo 2020,-0.2,-18.1,0.0,18.6,1.1,2.3,5.5,43.1,0.0,-12.9,7.8,-0.8,12.3,0.6,0.3,0.0,45.8,0.0,-8.7,0.2,0.0,0.0,2028.2,-6.4,0.0,0.0,72.4,0.0,0.7,-97.9,0.0,-97.9,-0.2,4.3,0.9,
Variación Total Sistema Monto hasta marzo 2020,-567.0,-667.0,5.0,75.0,-130.0,47.0,-30.0,-146.0,2.0,57.0,1.0,-4.0,94.0,-511.0,-657.0,5.0,35.0,2.0,-174.0,273.0,0.0,20.0,-14.0,-56.0,2.0,0.0,330.0,0.0,-69.0,-320.0,198.0,-518.0,-567.0,295.0,-271.0,
"Variación Total Sistema %
 hasta marzo 2020",-1.3,-9.8,0.0,1.2,-0.5,0.2,-3.7,7.9,6.1,10.2,0.8,-0.6,4.7,-1.3,-2.0,0.0,30.6,6.1,-8.8,9.4,0.0,4.8,-5.7,-1.1,0.1,0.0,44.0,0.0,-27.1,-49.1,560.3,-84.0,-1.3,2.3,-0.5,
Total Sistema hasta marzo 2022,53361.0,8256.0,0.0,8716.0,32489.0,34197.0,714.0,-2422.0,12.0,750.0,95.0,791.0,2251.0,47845.0,41699.0,0.0,341.0,12.0,1959.0,2784.0,280.0,512.0,258.0,5516.0,4018.0,2.0,1023.0,2.0,270.0,202.0,55.0,147.0,53361.0,14571.0,67932.0,
Guayaquil hasta marzo 2022,6536.0,888.0,0.0,1090.0,4158.0,4291.0,55.0,-189.0,0.0,65.0,23.0,113.0,200.0,5944.0,5176.0,0.0,47.0,0.0,177.0,474.0,18.0,50.0,2.0,591.0,483.0,0.0,80.0,0.0,5.0,22.0,0.0,22.0,6536.0,1776.0,8312.0,
Variación Banco Guayaquil Monto hasta marzo 2022,171.0,-123.0,0.0,113.0,165.0,162.0,10.0,-7.0,0.0,-2.0,-3.0,1.0,19.0,182.0,165.0,0.0,-3.0,0.0,3.0,16.0,0.0,0.0,0.0,-11.0,33.0,0.0,7.0,0.0,0.0,-52.0,0.0,-52.0,171.0,102.0,273.0,
Variación Banco Guayaquil % hasta marzo 2022,2.7,-12.1,0.0,11.5,4.1,3.9,21.7,3.6,0.0,-2.4,-9.9,1.3,10.4,3.2,3.3,0.0,-5.5,0.0,2.0,3.5,0.0,0.0,8.2,-1.8,7.4,0.0,10.2,0.0,2.5,-70.0,0.0,-70.0,2.7,6.1,3.4,
Variación Total Sistema Monto hasta marzo 2022,962.0,-933.0,0.0,494.0,1160.0,1190.0,61.0,-91.0,11.0,-4.0,-7.0,-5.0,246.0,949.0,493.0,0.0,120.0,11.0,113.0,11.0,150.0,0.0,51.0,13.0,58.0,0.0,200.0,0.0,-8.0,-238.0,3.0,-241.0,962.0,416.0,1378.0,
"Variación Total Sistema %
 hasta marzo 2022",1.8,-10.1,0.0,6.0,3.7,3.6,9.4,3.9,889.1,-0.5,-7.0,-0.7,12.3,2.0,1.2,0.0,54.0,889.1,6.1,0.4,115.1,0.0,24.9,0.2,1.5,0.0,24.3,0.0,-2.7,-54.1,5.9,-62.2,1.8,2.9,2.1,
Total Sistema hasta marzo 2023,58130.0,9170.0,0.0,7992.0,36679.0,38146.0,1248.0,-2715.0,18.0,842.0,102.0,818.0,2510.0,52029.0,44474.0,0.0,301.0,18.0,2268.0,3716.0,378.0,603.0,271.0,6101.0,4195.0,1.0,1261.0,2.0,288.0,354.0,166.0,188.0,58130.0,17027.0,75157.0,
Guayaquil hasta marzo 2023,7154.0,915.0,0.0,1165.0,4662.0,4742.0,130.0,-211.0,0.0,67.0,23.0,109.0,212.0,6485.0,5552.0,0.0,42.0,0.0,225.0,530.0,58.0,75.0,3.0,669.0,483.0,0.0,145.0,0.0,8.0,32.0,0.0,32.0,7154.0,1937.0,9091.0,
Variación Banco Guayaquil Monto hasta marzo 2023,267.0,-145.0,0.0,221.0,171.0,114.0,63.0,-6.0,0.0,0.0,0.0,-2.0,21.0,279.0,190.0,0.0,11.0,0.0,6.0,28.0,45.0,0.0,0.0,-13.0,0.0,0.0,65.0,0.0,0.0,-77.0,0.0,-77.0,267.0,42.0,309.0,
Variación Banco Guayaquil % hasta marzo 2023,3.9,-13.7,0.0,23.4,3.8,2.5,94.5,3.0,0.0,0.0,1.8,-1.4,10.9,4.5,3.5,0.0,37.6,0.0,2.5,5.5,337.4,0.0,1.4,-1.9,0.0,0.0,80.7,0.0,-2.3,-70.5,48030880.0,-70.6,3.9,2.2,3.5,
Variación Total Sistema Monto hasta marzo 2023,1243.0,-330.0,0.0,557.0,739.0,373.0,431.0,-65.0,0.0,86.0,-4.0,-10.0,206.0,1193.0,831.0,0.0,80.0,0.0,112.0,87.0,55.0,-7.0,34.0,51.0,83.0,0.0,313.0,0.0,9.0,-354.0,121.0,-475.0,1243.0,466.0,1709.0,
"Variación Total Sistema %
 hasta marzo 2023",2.2,-3.5,0.0,7.5,2.1,1.0,52.8,2.5,1.9,11.3,-3.8,-1.2,8.9,2.3,1.9,0.0,36.4,1.9,5.2,2.4,16.9,-1.1,14.3,0.8,2.0,0.0,33.0,0.7,3.1,-50.0,273.6,-71.6,2.2,2.8,2.3,
Total Sistema hasta junio 2020,44251.0,7687.0,0.0,6279.0,26814.0,28069.0,820.0,-2076.0,10.0,898.0,77.0,700.0,1788.0,39207.0,33527.0,0.0,163.0,10.0,1592.0,3047.0,150.0,441.0,278.0,5044.0,3529.0,2.0,978.0,2.0,198.0,336.0,195.0,141.0,44251.0,12721.0,56972.0,
Guayaquil hasta junio 2020,5129.0,936.0,0.0,694.0,3178.0,3297.0,50.0,-168.0,0.0,77.0,4.0,129.0,111.0,4619.0,3844.0,0.0,21.0,0.0,142.0,564.0,0.0,31.0,17.0,511.0,428.0,0.0,69.0,0.0,5.0,9.0,0.0,9.0,5129.0,1584.0,6713.0,
Variación Banco Guayaquil Monto hasta junio 2020,61.0,173.0,0.0,-47.0,-62.0,-31.0,-3.0,-28.0,0.0,30.0,1.0,-1.0,-33.0,55.0,114.0,0.0,6.0,0.0,-26.0,-32.0,0.0,0.0,-8.0,7.0,36.0,0.0,-36.0,0.0,0.0,7.0,0.0,7.0,61.0,-139.0,-77.0,
Variación Banco Guayaquil % hasta junio 2020,1.2,22.7,0.0,-6.3,-1.9,-0.9,-5.3,19.8,0.0,63.3,26.5,-1.0,-22.6,1.2,3.1,0.0,41.2,0.0,-15.5,-5.4,0.0,0.6,-31.8,1.3,9.3,0.0,-34.4,0.0,-6.8,405.4,0.0,405.4,1.2,-8.1,-1.1,
Variación Total Sistema Monto hasta junio 2020,236.0,1553.0,-5.0,-49.0,-1235.0,-1186.0,30.0,-78.0,-23.0,277.0,1.0,-1.0,-283.0,182.0,506.0,-5.0,12.0,-23.0,-219.0,-134.0,0.0,0.0,45.0,53.0,139.0,0.0,-103.0,0.0,12.0,4.0,-38.0,43.0,236.0,-475.0,-239.0,
"Variación Total Sistema %
 hasta junio 2020",0.5,25.3,-100.0,-0.8,-4.4,-4.1,3.7,3.9,-69.2,44.5,1.6,-0.1,-13.6,0.5,1.5,-100.0,8.0,-69.2,-12.1,-4.2,0.0,0.0,19.2,1.1,4.1,0.0,-9.5,0.0,6.7,1.3,-16.5,43.7,0.5,-3.6,-0.4,
Total Sistema hasta junio 2022,52680.0,7303.0,0.0,7837.0,33601.0,35388.0,733.0,-2520.0,13.0,772.0,94.0,781.0,2278.0,47036.0,40930.0,0.0,278.0,13.0,1832.0,2966.0,259.0,523.0,235.0,5644.0,4089.0,1.0,963.0,2.0,243.0,346.0,44.0,302.0,52680.0,15488.0,68168.0,
Guayaquil hasta junio 2022,6502.0,842.0,0.0,985.0,4272.0,4406.0,59.0,-194.0,0.0,64.0,24.0,111.0,203.0,5888.0,5019.0,0.0,55.0,0.0,180.0,565.0,16.0,50.0,3.0,614.0,483.0,0.0,80.0,0.0,6.0,45.0,0.0,45.0,6502.0,1758.0,8260.0,
Variación Banco Guayaquil Monto hasta junio 2022,-34.0,-46.0,0.0,-105.0,114.0,115.0,4.0,-5.0,0.0,-1.0,1.0,-1.0,4.0,-57.0,-157.0,0.0,7.0,0.0,3.0,91.0,-2.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,22.0,-34.0,-18.0,-52.0,
Variación Banco Guayaquil % hasta junio 2022,-0.5,-5.2,0.0,-9.6,2.7,2.7,7.3,2.5,0.0,-1.4,5.0,-1.1,1.9,-1.0,-3.0,0.0,15.7,0.0,1.7,19.2,-12.5,0.0,56.6,3.9,0.0,0.0,0.0,0.0,10.8,99.4,0.0,99.4,-0.5,-1.0,-0.6,
Variación Total Sistema Monto hasta junio 2022,-681.0,-953.0,0.0,-879.0,1112.0,1191.0,20.0,-98.0,1.0,22.0,-1.0,-10.0,27.0,-809.0,-769.0,0.0,-63.0,1.0,-127.0,182.0,-21.0,10.0,-23.0,128.0,71.0,-1.0,-60.0,0.0,-27.0,145.0,-11.0,156.0,-681.0,917.0,236.0,
"Variación Total Sistema %
 hasta junio 2022",-1.3,-11.5,0.0,-10.1,3.4,3.5,2.7,4.0,7.4,2.9,-0.6,-1.3,1.2,-1.7,-1.8,0.0,-18.6,7.4,-6.5,6.6,-7.5,2.0,-8.9,2.3,1.8,-52.2,-5.9,0.0,-9.9,71.8,-20.1,106.3,-1.3,6.3,0.3,
Total Sistema hasta junio 2024,63217.0,8267.0,0.0,9149.0,40681.0,42112.0,1533.0,-2965.0,28.0,977.0,115.0,790.0,3209.0,56465.0,48186.0,0.0,166.0,28.0,2380.0,4428.0,329.0,580.0,368.0,6752.0,5042.0,1.0,1030.0,2.0,343.0,334.0,42.0,292.0,0.0,63217.0,19460.0,82677.0
Guayaquil hasta junio 2024,7819.0,931.0,0.0,1157.0,5223.0,5272.0,153.0,-201.0,0.0,83.0,13.0,109.0,303.0,7066.0,5909.0,0.0,21.0,0.0,253.0,754.0,46.0,75.0,7.0,752.0,592.0,0.0,103.0,0.0,7.0,50.0,0.0,50.0,0.0,7819.0,2284.0,10103.0
Variación Banco Guayaquil Monto hasta junio 2024,274.0,134.0,0.0,9.0,110.0,92.0,12.0,7.0,0.0,5.0,-19.0,0.0,34.0,249.0,226.0,0.0,-38.0,0.0,3.0,61.0,-5.0,0.0,1.0,24.0,55.0,0.0,-55.0,0.0,0.0,25.0,0.0,25.0,0.0,274.0,2.0,276.0
Variación Banco Guayaquil % hasta junio 2024,3.6,16.8,0.0,0.8,2.2,1.8,8.3,-3.2,0.0,6.5,-60.3,0.2,12.7,3.7,4.0,0.0,-64.3,0.0,1.2,8.8,-9.5,0.0,22.5,3.4,10.2,0.0,-34.6,0.0,-1.3,96.8,0.0,96.8,0.0,3.6,0.1,2.8
Variación Total Sistema Monto hasta junio 2024,2115.0,796.0,0.0,167.0,929.0,874.0,31.0,24.0,-19.0,64.0,-22.0,-13.0,212.0,1954.0,1976.0,0.0,-153.0,-19.0,-103.0,401.0,-49.0,-36.0,-63.0,161.0,440.0,0.0,-410.0,0.0,19.0,112.0,-36.0,147.0,0.0,2115.0,610.0,2725.0
"Variación Total Sistema %
 hasta junio 2024",3.5,10.7,0.0,1.9,2.3,2.1,2.1,-0.8,-40.4,7.0,-16.0,-1.6,7.1,3.6,4.3,0.0,-48.0,-40.4,-4.2,10.0,-12.9,-5.9,-14.6,2.4,9.6,0.0,-28.5,0.0,5.9,50.2,-46.0,101.6,0.0,3.5,3.2,3.4
Total Sistema hasta diciembre 2020,48458.0,10259.0,0.0,7290.0,27278.0,28817.0,721.0,-2260.0,2.0,878.0,88.0,709.0,1954.0,43364.0,37528.0,0.0,296.0,2.0,1718.0,2953.0,170.0,445.0,252.0,5094.0,3641.0,2.0,933.0,2.0,219.0,298.0,65.0,233.0,48458.0,12526.0,60985.0,
Guayaquil hasta diciembre 2020,5761.0,1004.0,0.0,1136.0,3283.0,3429.0,46.0,-192.0,0.0,71.0,5.0,127.0,135.0,5226.0,4373.0,0.0,23.0,0.0,173.0,591.0,20.0,44.0,1.0,535.0,428.0,0.0,69.0,0.0,4.0,33.0,0.0,33.0,5761.0,1588.0,7350.0,
Variación Banco Guayaquil Monto hasta diciembre 2020,684.0,72.0,0.0,511.0,78.0,176.0,-4.0,-94.0,0.0,17.0,2.0,-4.0,7.0,687.0,655.0,0.0,13.0,0.0,-10.0,-4.0,20.0,13.0,0.0,-3.0,36.0,0.0,8.0,0.0,0.0,-47.0,0.0,-47.0,684.0,-64.0,620.0,
Variación Banco Guayaquil % hasta diciembre 2020,13.5,7.7,0.0,81.7,2.4,5.4,-7.1,96.1,0.0,31.2,86.9,-2.7,5.4,15.1,17.6,0.0,126.3,0.0,-5.6,-0.7,497265.0,43.8,26.9,-0.6,9.3,0.0,13.2,0.0,-9.3,-58.8,0.0,-58.8,13.5,-3.9,9.2,
Variación Total Sistema Monto hasta diciembre 2020,3876.0,3459.0,0.0,1038.0,-900.0,-392.0,-99.0,-409.0,-30.0,314.0,14.0,5.0,-23.0,3829.0,3850.0,0.0,181.0,-30.0,-267.0,45.0,20.0,24.0,5.0,47.0,254.0,0.0,183.0,0.0,-36.0,-353.0,29.0,-383.0,3876.0,-374.0,3502.0,
"Variación Total Sistema %
 hasta diciembre 2020",8.7,50.9,0.0,16.6,-3.2,-1.3,-12.1,22.1,-95.1,55.7,18.1,0.7,-1.2,9.7,11.4,0.0,156.5,-95.1,-13.5,1.6,13.3,5.8,2.1,0.9,7.5,0.0,24.3,0.2,-14.1,-54.3,83.4,-62.2,8.7,-2.9,6.1,
